"","sample_name","sample_title","bioproject_accession","organism","collection_date","depth","elev","env_broad_scale","env_local_scale","env_medium","geo_loc_name","lat_long","agrochem_addition","Replicate"
"453","SRD-C-MIN-1_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-SRD-C-MIN-1_S48","","soil metagenome",2017,"0-10 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","48.367 N 89.397 W","","replicate  1: amplicon 18S, ITS, BR5, F230"
"455","SRD-C-MIN-2_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-SRD-C-MIN-2_S54","","soil metagenome",2017,"0-10 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","48.367 N 89.397 W","","replicate  2: amplicon 18S, ITS, BR5, F230"
"457","SRD-C-MIN-3_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-SRD-C-MIN-3_S42","","soil metagenome",2017,"0-10 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","48.367 N 89.397 W","","replicate  3: amplicon 18S, ITS, BR5, F230"
"459","ILK-A1-FH-3A_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A1-FH-3A_S17","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","47.7 N 83.6 W","0.7 t/ha Bottom wood ash","replicate  3A: amplicon 18S, ITS, BR5, F230"
"461","ILK-A1-FH-3B_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A1-FH-3B_S18","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","47.7 N 83.6 W","0.7 t/ha Bottom wood ash","replicate  3B: amplicon 18S, ITS, BR5, F230"
"463","ILK-A1-LM-3A_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A1-LM-3A_S15","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","47.7 N 83.6 W","0.7 t/ha Bottom wood ash","replicate  3A: amplicon 18S, ITS, BR5, F230"
"465","ILK-A1-LM-3B_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A1-LM-3B_S16","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","47.7 N 83.6 W","0.7 t/ha Bottom wood ash","replicate  3B: amplicon 18S, ITS, BR5, F230"
"467","ILK-A1-LM-4A_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A1-LM-4A_S39","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","47.7 N 83.6 W","0.7 t/ha Bottom wood ash","replicate  4A: amplicon 18S, ITS, BR5, F230"
"469","ILK-A1-LM-4B_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A1-LM-4B_S40","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","47.7 N 83.6 W","0.7 t/ha Bottom wood ash","replicate  4B: amplicon 18S, ITS, BR5, F230"
"471","ILK-A1-MIN-3A_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A1-MIN-3A_S19","","soil metagenome",2017,"0-10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","47.7 N 83.6 W","0.7 t/ha Bottom wood ash","replicate  3A: amplicon 18S, ITS, BR5, F230"
