"","sample_name","sample_title","bioproject_accession","organism","collection_date","depth","elev","env_broad_scale","env_local_scale","env_medium","geo_loc_name","lat_long","agrochem_addition","Replicate"
"233","SRD-C-MIN-3","","","soil metagenome",2017,"0-10 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","48.367 N 89.397 W","","replicate  3"
"236","HLB-A6-FH-1","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","45.223 N 78.592 W","8 t/ha Fly wood ash","replicate  1"
"240","HLB-A5-FH-1","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","45.223 N 78.592 W","4 t/ha Fly wood ash","replicate  1"
"242","HLB-A6-LM-1","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","45.223 N 78.592 W","8 t/ha Fly wood ash","replicate  1"
"244","HLB-A5-LM-1","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","45.223 N 78.592 W","4 t/ha Fly wood ash","replicate  1"
"245","HLB-A4-LM-1","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","45.223 N 78.592 W","1 t/ha Fly wood ash","replicate  1"
"247","HLB-A4-FH-1","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","45.223 N 78.592 W","1 t/ha Fly wood ash","replicate  1"
"248","HLB-C-FH-1","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","45.223 N 78.592 W","","replicate  1"
"251","HLB-C-LM-1","","","soil metagenome",2017,"5-8 cm",415,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","45.223 N 78.592 W","","replicate  1"
"252","SRD-C-LFH-3","","","soil metagenome",2017,"0 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","48.367 N 89.397 W","","replicate  3"
"255","ALS-A2-LFH-3","","","soil metagenome",2017,"~5.2 cm",643,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: British Columbia","54.071 N 122.08 W","5 t/ha CPLP Bottom wood ash","replicate  3"
"257","ALS-A2-LFH-2","","","soil metagenome",2017,"~5.2 cm",643,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: British Columbia","54.071 N 122.08 W","5 t/ha CPLP Bottom wood ash","replicate  2"
"258","ALS-A1-LFH-3","","","soil metagenome",2017,"~5.2 cm",643,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: British Columbia","54.071 N 122.08 W","5 t/ha UNBC Bottom wood ash","replicate  3"
"260","ALS-C-LFH-3","","","soil metagenome",2017,"~5.2 cm",643,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: British Columbia","54.071 N 122.08 W","","replicate  3"
"262","ALS-A1-LFH-2","","","soil metagenome",2017,"~5.2 cm",643,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: British Columbia","54.071 N 122.08 W","5 t/ha UNBC Bottom wood ash","replicate  2"
"263","ALS-A1-LFH-1","","","soil metagenome",2017,"~5.2 cm",643,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: British Columbia","54.071 N 122.08 W","5 t/ha UNBC Bottom wood ash","replicate  1"
"265","ALS-A2-LFH-1","","","soil metagenome",2017,"~5.2 cm",643,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: British Columbia","54.071 N 122.08 W","5 t/ha CPLP Bottom wood ash","replicate  1"
