"","sample_name","library_id"
"1135","ETM-A-LM-2","Pinkney-Ashnet-ETM-A-LM-2A_S1"
"1137","ETM-A-LM-2","Pinkney-Ashnet-ETM-A-LM-2B_S4"
"1139","ETM-A-LM-3","Pinkney-Ashnet-ETM-A-LM-3A_S13"
"1141","ETM-A-LM-3","Pinkney-Ashnet-ETM-A-LM-3B_S16"
"1143","ETM-A-MIN-2","Pinkney-Ashnet-ETM-A-MIN-2A_S3"
"1145","ETM-A-MIN-2","Pinkney-Ashnet-ETM-A-MIN-2B_S6"
"1147","ETM-A-MIN-3","Pinkney-Ashnet-ETM-A-MIN-3A_S15"
"1149","ETM-A-MIN-3","Pinkney-Ashnet-ETM-A-MIN-3B_S18"
"1151","ETM-C-FH-3","Pinkney-Ashnet-ETM-C-FH-3A_S8"
"1153","ETM-C-FH-3","Pinkney-Ashnet-ETM-C-FH-3B_S11"
"1155","ETM-C-FH-4","Pinkney-Ashnet-ETM-C-FH-4A_S20"
"1157","ETM-C-LM-3","Pinkney-Ashnet-ETM-C-LM-3A_S7"
"1159","ETM-C-LM-3","Pinkney-Ashnet-ETM-C-LM-3B_S10"
"1161","ETM-C-LM-4","Pinkney-Ashnet-ETM-C-LM-4A_S19"
"1163","ETM-C-LM-4","Pinkney-Ashnet-ETM-C-LM-4B_S22"
"1165","ETM-C-MIN-3","Pinkney-Ashnet-ETM-C-MIN-3A_S9"
"1167","ETM-C-MIN-3","Pinkney-Ashnet-ETM-C-MIN-3B_S12"
"1169","ETM-C-MIN-4","Pinkney-Ashnet-ETM-C-MIN-4A_S21"
"1171","HLB-A1-MIN-2","Pinkney-Ashnet-HLB-A1-MIN-2A_S23"
"1173","HLB-A1-MIN-2","Pinkney-Ashnet-HLB-A1-MIN-2B_S24"
"1175","HLB-A2-FH-2","Pinkney-Ashnet-HLB-A2-FH-2A_S27"
"1177","HLB-A2-FH-2","Pinkney-Ashnet-HLB-A2-FH-2B_S28"
"1179","HLB-A2-LM-2","Pinkney-Ashnet-HLB-A2-LM-2A_S25"
"1181","HLB-A2-LM-2","Pinkney-Ashnet-HLB-A2-LM-2B_S26"
"1183","HLB-A2-MIN-2","Pinkney-Ashnet-HLB-A2-MIN-2A_S29"
"1185","HLB-A2-MIN-2","Pinkney-Ashnet-HLB-A2-MIN-2B_S30"
"1187","HLB-A3-FH-2","Pinkney-Ashnet-HLB-A3-FH-2A_S33"
"1189","HLB-A3-FH-2","Pinkney-Ashnet-HLB-A3-FH-2B_S34"
"1191","HLB-A3-FH-4","Pinkney-Ashnet-HLB-A3-FH-4A_S45"
"1193","HLB-A3-FH-4","Pinkney-Ashnet-HLB-A3-FH-4B_S46"
"1195","HLB-A3-LM-2","Pinkney-Ashnet-HLB-A3-LM-2A_S31"
"1197","HLB-A3-LM-2","Pinkney-Ashnet-HLB-A3-LM-2B_S32"
"1199","HLB-A3-MIN-2","Pinkney-Ashnet-HLB-A3-MIN-2A_S35"
"1201","HLB-A3-MIN-2","Pinkney-Ashnet-HLB-A3-MIN-2B_S36"
"1203","HLB-A3-MIN-4","Pinkney-Ashnet-HLB-A3-MIN-4A_S47"
"1205","HLB-A3-MIN-4","Pinkney-Ashnet-HLB-A3-MIN-4B_S48"
"1207","HLB-A4-FH-2","Pinkney-Ashnet-HLB-A4-FH-2A_S39"
"1209","HLB-A4-FH-2","Pinkney-Ashnet-HLB-A4-FH-2B_S40"
"1211","HLB-A4-FH-4","Pinkney-Ashnet-HLB-A4-FH-4A_S51"
"1213","HLB-A4-FH-4","Pinkney-Ashnet-HLB-A4-FH-4B_S52"
"1215","HLB-A4-LM-2","Pinkney-Ashnet-HLB-A4-LM-2A_S37"
"1217","HLB-A4-LM-2","Pinkney-Ashnet-HLB-A4-LM-2B_S38"
"1219","HLB-A4-LM-4","Pinkney-Ashnet-HLB-A4-LM-4A_S49"
"1221","HLB-A4-LM-4","Pinkney-Ashnet-HLB-A4-LM-4B_S50"
"1223","HLB-A4-MIN-2","Pinkney-Ashnet-HLB-A4-MIN-2A_S41"
"1225","HLB-A4-MIN-2","Pinkney-Ashnet-HLB-A4-MIN-2B_S42"
"1227","HLB-A4-MIN-4","Pinkney-Ashnet-HLB-A4-MIN-4A_S53"
"1229","HLB-A4-MIN-4","Pinkney-Ashnet-HLB-A4-MIN-4B_S54"
"1231","HLB-A5-FH-4","Pinkney-Ashnet-HLB-A5-FH-4A_S57"
"1233","HLB-A5-FH-4","Pinkney-Ashnet-HLB-A5-FH-4B_S58"
"1235","HLB-A5-LM-2","Pinkney-Ashnet-HLB-A5-LM-2A_S43"
"1237","HLB-A5-LM-2","Pinkney-Ashnet-HLB-A5-LM-2B_S44"
"1239","HLB-A5-LM-4","Pinkney-Ashnet-HLB-A5-LM-4A_S55"
"1241","HLB-A5-LM-4","Pinkney-Ashnet-HLB-A5-LM-4B_S56"
"1243","HLB-A5-MIN-4","Pinkney-Ashnet-HLB-A5-MIN-4A_S59"
"1245","HLB-A5-MIN-4","Pinkney-Ashnet-HLB-A5-MIN-4B_S60"
"1247","HLB-A6-FH-4","Pinkney-Ashnet-HLB-A6-FH-4A_S63"
"1249","HLB-A6-FH-4","Pinkney-Ashnet-HLB-A6-FH-4B_S64"
"1251","HLB-A6-LM-4","Pinkney-Ashnet-HLB-A6-LM-4A_S61"
"1253","HLB-A6-LM-4","Pinkney-Ashnet-HLB-A6-LM-4B_S62"
"1255","HLB-A6-MIN-4","Pinkney-Ashnet-HLB-A6-MIN-4A_S65"
"1257","HLB-A6-MIN-4","Pinkney-Ashnet-HLB-A6-MIN-4B_S66"
